graph,temporal_edges,batch_size,order,size,time,iterations,error,technique
"CollegeMsg","59836","10","564","2335","0.179","43","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","564","2335","0.142","35","0.0000095735","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","564","2335","0.154","37","0.0000067431","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","564","2335","0.153","36","0.000012243","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","564","2335","0.08","20","0.000068991","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","564","2335","0.085","20","0.000068766","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","564","2335","0.144","34","0.000019058","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","564","2335","0.048","12","0.00024969","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","564","2335","0.054","12","0.00025005","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","563","2330","0.173","42","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","563","2330","0.127","31","0.000012544","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","563","2330","0.126","30","0.000012776","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","563","2330","0.152","36","0.0000091062","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","563","2330","0.062","15","0.000073918","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","563","2330","0.064","15","0.000072996","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","563","2330","0.144","34","0.000014715","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","563","2330","0.045","11","0.00013513","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","563","2330","0.05","11","0.00013541","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","792","4452","0.328","48","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","792","4452","0.365","33","0.0000098852","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","792","4452","0.356","33","0.000010237","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","792","4452","0.432","39","0.000017999","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","792","4452","0.182","17","0.000079457","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","792","4452","0.188","17","0.000079471","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","792","4452","0.406","37","0.000026915","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","792","4452","0.097","9","0.00029193","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","792","4452","0.103","9","0.0002919","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","791","4449","0.555","48","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","791","4449","0.327","26","0.0000089516","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","791","4449","0.309","25","0.000010944","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","791","4449","0.489","39","0.000017574","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","791","4449","0.135","10","0.000072577","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","791","4449","0.132","10","0.000072241","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","791","4449","0.456","37","0.000026548","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","791","4449","0.124","9","0.000085246","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","791","4449","0.12","9","0.000085044","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","981","6628","0.668","48","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","981","6628","0.389","32","0.0000065414","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","981","6628","0.347","31","0.0000088685","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","981","6628","0.504","42","0.0000070541","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","981","6628","0.287","24","0.0000208","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","981","6628","0.277","24","0.000021361","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","981","6628","0.504","42","0.0000070541","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","981","6628","0.286","24","0.0000208","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","981","6628","0.27","24","0.000021361","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","981","6623","0.556","47","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","981","6623","0.421","36","0.0000079159","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","981","6623","0.399","36","0.0000074366","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","981","6623","0.49","42","0.0000042798","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","981","6623","0.281","24","0.000035476","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","981","6623","0.538","24","0.000035141","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","981","6623","1.281","42","0.0000042798","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","981","6623","0.513","24","0.000035476","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","981","6623","0.288","24","0.000035141","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1116","8607","0.858","40","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1116","8607","0.63","31","0.000010607","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1116","8607","0.622","31","0.000010583","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1116","8607","0.681","33","0.000010933","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1116","8607","0.324","13","0.0001105","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1116","8607","0.309","13","0.00011049","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1116","8607","0.76","31","0.000016392","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1116","8607","0.105","4","0.00046712","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1116","8607","0.107","4","0.00046712","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1116","8605","0.86","39","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1116","8605","0.628","31","0.000011113","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1116","8605","0.612","31","0.000011134","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1116","8605","0.682","33","0.0000089903","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1116","8605","0.268","13","0.00011184","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1116","8605","0.263","13","0.00011185","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1116","8605","0.522","31","0.000014488","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1116","8605","0.069","4","0.00046782","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1116","8605","0.067","4","0.00046786","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1260","10542","0.774","41","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1260","10542","0.595","32","0.000010102","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1260","10542","0.547","32","0.000010094","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1260","10542","0.623","33","0.000013004","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1260","10542","0.236","12","0.00011659","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1260","10542","0.219","12","0.00011668","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1260","10542","0.57","30","0.000024471","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1260","10542","0.085","4","0.0004156","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1260","10542","0.081","4","0.00041562","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1260","10541","0.756","41","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1260","10541","0.58","31","0.0000090333","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1260","10541","0.528","31","0.0000091298","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1260","10541","0.617","33","0.000013843","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1260","10541","0.241","12","0.00011425","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1260","10541","0.223","12","0.00011434","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1260","10541","0.769","30","0.000025704","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1260","10541","0.08","3","0.00048575","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1260","10541","0.084","3","0.00048578","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1398","12578","1.264","39","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1398","12578","0.911","31","0.000010422","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1398","12578","0.882","31","0.000010594","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1398","12578","0.919","32","0.000012033","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1398","12578","0.273","12","0.00010522","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1398","12578","0.254","12","0.0001053","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1398","12578","0.647","29","0.000023545","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1398","12578","0.168","7","0.00023123","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1398","12578","0.158","7","0.00023101","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1398","12574","0.852","39","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1398","12574","0.665","30","0.000010221","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1398","12574","0.606","30","0.000010558","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1398","12574","0.706","32","0.000012402","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1398","12574","0.255","11","0.00012234","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1398","12574","0.236","11","0.00012238","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1398","12574","0.648","29","0.000023798","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1398","12574","0.17","7","0.00022863","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1398","12574","0.158","7","0.00022893","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1498","14380","0.98","39","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1498","14380","1.005","29","0.000011699","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1498","14380","0.947","29","0.00001154","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1498","14380","1.045","31","0.000013622","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1498","14380","0.401","11","0.00011477","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1498","14380","0.368","11","0.0001149","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1498","14380","0.953","28","0.00002526","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1498","14380","0.168","4","0.00034909","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1498","14380","0.167","4","0.00034907","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1498","14377","1.584","39","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1498","14377","1.041","30","0.0000093886","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1498","14377","0.976","30","0.0000090229","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1498","14377","1.044","31","0.000014095","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1498","14377","0.355","11","0.00011259","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1498","14377","0.265","11","0.00011269","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1498","14377","0.711","28","0.000026584","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1498","14377","0.11","4","0.00034668","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1498","14377","0.107","4","0.00034677","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1677","16720","1.137","39","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1677","16720","0.935","31","0.000010767","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1677","16720","0.831","31","0.000010656","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1677","16720","0.912","30","0.000017916","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1677","16720","0.309","10","0.0001202","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1677","16720","0.281","10","0.00011969","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1677","16720","0.837","28","0.000027134","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1677","16720","0.164","5","0.00026598","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1677","16720","0.239","5","0.00026542","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1676","16715","1.537","39","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1676","16715","0.867","22","0.0000095395","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1676","16715","0.993","22","0.0000078948","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1676","16715","1.451","30","0.000018269","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1676","16715","0.247","6","0.000067338","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1676","16715","0.237","6","0.000068105","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1676","16715","1.111","28","0.000027505","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1676","16715","0.206","5","0.000079402","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1676","16715","0.2","5","0.000080093","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1771","18637","1.207","38","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1771","18637","0.898","28","0.0000099763","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1771","18637","0.869","29","0.0000079732","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1771","18637","0.966","30","0.000013859","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1771","18637","0.312","9","0.00013139","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1771","18637","0.277","9","0.00013074","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1771","18637","0.873","27","0.000025274","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1771","18637","0.144","4","0.00029278","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1771","18637","0.132","4","0.00029335","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1771","18635","1.188","37","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1771","18635","1.286","29","0.000011314","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1771","18635","1.246","30","0.0000108","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1771","18635","1.568","30","0.000011909","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1771","18635","0.487","9","0.00013531","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1771","18635","0.384","9","0.00013526","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1771","18635","1.172","27","0.000023046","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1771","18635","0.182","4","0.0002984","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1771","18635","0.178","4","0.00029862","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1899","20293","1.355","39","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1899","20293","0.981","28","0.000010244","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1899","20293","0.887","28","0.00001004","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1899","20293","1.079","30","0.000017951","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1899","20293","0.33","9","0.00012318","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1899","20293","0.297","9","0.00012323","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1899","20293","0.955","27","0.000032132","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1899","20293","0.117","3","0.00032203","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1899","20293","0.108","3","0.0003219","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","10","1899","20284","1.6","39","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","10","1899","20284","1.334","28","0.00001141","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","10","1899","20284","1.469","29","0.0000098484","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","10","1899","20284","1.697","30","0.000017086","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","10","1899","20284","0.433","9","0.00012469","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","10","1899","20284","0.415","9","0.00012441","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","10","1899","20284","1.293","27","0.000031042","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","10","1899","20284","0.151","3","0.00032449","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","10","1899","20284","0.131","3","0.00032444","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","564","2335","0.161","43","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","564","2335","0.138","35","0.0000094204","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","50","564","2335","0.148","37","0.0000066351","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","50","564","2335","0.152","36","0.000012243","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","50","564","2335","0.08","20","0.00006834","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","50","564","2335","0.084","20","0.000068099","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","50","564","2335","0.143","34","0.000019058","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","50","564","2335","0.057","14","0.00018025","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","50","564","2335","0.058","14","0.00018052","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","562","2319","0.176","43","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","562","2319","0.107","27","0.00000558","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","50","562","2319","0.11","27","0.0000052589","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","50","562","2319","0.148","36","0.000010503","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","50","562","2319","0.051","13","0.000052797","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","50","562","2319","0.055","13","0.000053147","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","50","562","2319","0.141","34","0.000016073","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","50","562","2319","0.04","10","0.000089639","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","50","562","2319","0.044","10","0.000090667","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","792","4452","0.357","48","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","792","4452","0.244","34","0.000009957","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","50","792","4452","0.236","33","0.000011062","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","50","792","4452","0.292","39","0.000017999","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","50","792","4452","0.125","17","0.000090396","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","50","792","4452","0.126","17","0.000090485","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","50","792","4452","0.284","37","0.000026915","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","50","792","4452","0.084","11","0.00023477","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","50","792","4452","0.085","11","0.00023475","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","790","4429","0.359","48","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","790","4429","0.217","30","0.0000042493","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","50","790","4429","0.219","30","0.0000061398","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","50","790","4429","0.295","39","0.000018494","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","50","790","4429","0.109","15","0.000060402","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","50","790","4429","0.169","15","0.000059974","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","50","790","4429","0.403","37","0.000027776","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","50","790","4429","0.131","12","0.00010104","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","50","790","4429","0.139","12","0.00010107","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","981","6628","0.77","48","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","981","6628","0.505","32","0.0000065371","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","50","981","6628","0.489","31","0.0000088213","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","50","981","6628","0.78","42","0.0000070541","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","50","981","6628","0.458","24","0.000020712","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","50","981","6628","0.427","24","0.000021168","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","50","981","6628","0.795","42","0.0000070541","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","50","981","6628","0.378","24","0.000020712","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","50","981","6628","0.376","24","0.000021168","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","980","6618","0.766","49","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","980","6618","0.497","32","0.0000086571","D:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","50","980","6618","0.48","31","0.0000094166","D:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","50","980","6618","0.645","42","0.0000070559","D:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","50","980","6618","0.288","24","0.000022398","D:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","50","980","6618","0.266","24","0.000022225","D:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","50","980","6618","0.499","42","0.0000070559","D:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","50","980","6618","0.281","24","0.000022398","D:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","50","980","6618","0.265","24","0.000022225","D:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","1116","8607","0.634","40","0","I:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","1116","8607","0.469","31","0.000010607","I:pagerankMonolithicSeqL1Norm (incremental)"
"CollegeMsg","59836","50","1116","8607","0.434","31","0.000010597","I:pagerankMonolithicSeqL1Norm (dynamic)"
"CollegeMsg","59836","50","1116","8607","0.513","33","0.000010933","I:pagerankMonolithicSeqL2Norm (static)"
"CollegeMsg","59836","50","1116","8607","0.212","13","0.00011046","I:pagerankMonolithicSeqL2Norm (incremental)"
"CollegeMsg","59836","50","1116","8607","0.198","13","0.00011044","I:pagerankMonolithicSeqL2Norm (dynamic)"
"CollegeMsg","59836","50","1116","8607","0.499","31","0.000016392","I:pagerankMonolithicSeqLiNorm (static)"
"CollegeMsg","59836","50","1116","8607","0.101","6","0.00033742","I:pagerankMonolithicSeqLiNorm (incremental)"
"CollegeMsg","59836","50","1116","8607","0.096","6","0.00033741","I:pagerankMonolithicSeqLiNorm (dynamic)"
"CollegeMsg","59836","50","1115","8596","0.619","39","0","D:pagerankMonolithicSeqL1Norm (static)"
"CollegeMsg","59836","50","1115","8596","0.381","24","0.000011748","D:pagerankMonolithicSeqL1Norm (incremental)"
